tipo,codigo,tipoPergunta,obrigatoria,outro,descricao,bloco,pergunta,,,
A,4,,,,Bioativa,,41,,,
A,5,,,,Brasil,,41,,,
A,6,,,,Central,,41,,,
A,7,,,,Clivatti,,41,,,
A,8,,,,Coopagro,,41,,,
A,9,,,,Do Advogado,,41,,,
A,10,,,,Do Estado do Paraná,,41,,,
A,11,,,,Do Povo,,41,,,
A,12,,,,Droga Raia,,41,,,
A,13,,,,Drogacentro,,41,,,
A,14,,,,Drogaluz,,41,,,
A,15,,,,Drogazan,,41,,,   
P,42,alternativa,true ,true ,Farmácia de Manipulação,A,,,,
A,1,,,,Bioativa,,42,,,
A,2,,,,Biofarma,,42,,,
A,3,,,,Central,,42,,,
A,4,,,,Farma Ervas,,42,,,
A,5,,,,Natural Farma,,42,,,
A,6,,,,Pharmaderm,,42,,,
A,7,,,,Real,,42,,,
A,8,,,,Santo Antonio,,42,,,
A,9,,,,São Lucas,,42,,,
P,43,alternativa,true ,true ,Floricultura,A,,,,
A,1,,,,Angel,,43,,,
A,2,,,,Biullas,,43,,,
A,3,,,,Brotos e Artes,,43,,,
A,4,,,,Camélia,,43,,,
A,5,,,,Edson,,43,,,
A,6,,,,Essencia,,43,,,
A,7,,,,Flora Verde,,43,,,
A,8,,,,Hara's,,43,,,
A,9,,,,Isabela,,43,,,
A,10,,,,Neca,,43,,,
A,11,,,,Pedroso,,43,,,
A,12,,,,Santa Helena,,43,,,
A,13,,,,Stylus,,43,,,
A,14,,,,Xanadu,,43,,,
P,44,alternativa,true ,true ,Foto,A,,,,
A,1,,,,Avenida,,44,,,
A,2,,,,Clivatti,,44,,,
A,3,,,,Jardim,,44,,,
A,4,,,,Karin,,44,,,
A,5,,,,Pioneiro,,44,,,
P,45,alternativa,true ,true ,Funilaria (Calhas e Rufos),A,,,,
A,1,,,,Avenida,,45,,,
A,2,,,,Bertoti,,45,,,
A,3,,,,Brasil,,45,,,
A,4,,,,Britania,,45,,,
A,5,,,,Cezario,,45,,,
A,6,,,,Companhia das Calhas,,45,,,
A,7,,,,Fumetal,,45,,,
A,8,,,,Funibras,,45,,,
A,9,,,,Funimetal,,45,,,
A,10,,,,Funitol,,45,,,
A,11,,,,JC Funilaria,,45,,,
A,12,,,,JF,,45,,,
A,13,,,,JR,,45,,,
A,14,,,,Metol,,45,,,
A,15,,,,Panorama,,45,,,
A,16,,,,Pioneira,,45,,,
A,17,,,,Rei das Calhas,,45,,,
A,18,,,,RRD,,45,,,
A,19,,,,Tesouras de Ouro,,45,,,
A,20,,,,Toledo,,45,,,
A,21,,,,Vital,,45,,,
P,46,alternativa,true ,true ,Gelateria,A,,,,
A,1,,,,Dom Karamello,,46,,,
A,2,,,,Gelateria Perdonato,,46,,,
A,3,,,,Gelato Nobile,,46,,,
P,47,alternativa,true ,true ,Gráfica,A,,,,
A,1,,,,Colombo,,47,,,
A,2,,,,Conceito,,47,,,
A,3,,,,Estrela ,,47,,,
A,4,,,,Grafo Set,,47,,,
A,5,,,,Imagem,,47,,,
A,6,,,,JA,,47,,,
A,7,,,,Joffel,,47,,,
A,8,,,,Manz,,47,,,
A,9,,,,São Valentim,,47,,,
A,10,,,,Sul Grafica,,47,,,
A,11,,,,Suprema,,47,,,
A,12,,,,Toledo,,47,,,
A,13,,,,Tolegraf,,47,,,
A,14,,,,Valgraf,,47,,,
P,48,alternativa,true ,true ,Guia Telefônico e Comercial,A,,,,
A,1,,,,Brasil Telefon,,48,,,
A,2,,,,Editel,,48,,,
